round,posture,pattern,num_users,beta_entropy_3,beta_entropy_6,beta_entropy_10,alfa_guess_work_entropy_5,alfa_guess_work_entropy_2,upper_bound
0,sit,four_eight,104,4.584962500721156,4.8259706002249505,5.022367813028454,12.98076923076923,5.403846153846154,0
0,sit,four_five,107,4.2389666458719635,4.519074565064699,4.934112064343544,11.94392523364486,4.457943925233645,0
0,sit,four_four,107,4.3264294871223035,4.682573297347578,5.063395081288509,13.560747663551403,4.4859813084112155,0
0,sit,four_one,107,4.519074565064699,4.741466986401147,5.156504485679991,13.850467289719626,5.355140186915888,0
0,sit,four_seven,83,4.7900769306257684,5.053111336459563,5.3750394313469245,14.373493975903614,6.289156626506024,0
0,sit,four_six,102,5.087462841250339,5.350497247084133,5.5349218182215605,13.42156862745098,8.068627450980392,0
0,sit,four_three,107,3.1971464701773367,3.682573297347578,4.180752031926668,5.514018691588785,1.8691588785046729,0
0,sit,four_two,107,4.078501973678717,4.372233176735428,4.85394171565956,12.252336448598133,3.616822429906542,0
0,sit,three_eight,107,3.078501973678718,3.5450697735976435,4.156504485679991,4.373831775700935,1.8691588785046727,0
0,sit,three_five,107,3.468448491994731,3.900164732420205,4.362955363147417,7.467289719626169,1.8785046728971961,0
0,sit,three_four,108,2.8479969065549504,3.38565369249775,3.9893527558004913,3.537037037037037,1.0,0
0,sit,three_one,106,3.557995453120887,3.990954860396993,4.557995453120887,9.981132075471697,2.7169811320754715,0
0,sit,three_seven,107,2.9688774825042192,3.5190745650646993,4.156504485679991,4.252336448598132,1.8411214953271027,0
0,sit,three_six,106,3.612443237143263,4.06495544184077,4.464886048729405,9.90566037735849,2.726415094339623,0
0,sit,three_three,107,3.866997868485006,4.156504485679991,4.671077658509749,9.345794392523365,2.7850467289719623,0
0,sit,three_two,106,3.1429579538420427,3.612443237143263,4.1918675543229895,4.933962264150944,1.867924528301887,0
0,sit,two_eight,107,2.771840635444666,3.3491495636223867,3.997305890830737,3.037383177570094,1.8130841121495327,0
0,sit,two_five,107,2.866997868485006,3.5450697735976435,4.156504485679991,4.140186915887851,1.8317757009345792,0
0,sit,two_four,108,2.7548875021634687,3.3856536924977494,4.076815597050831,3.037037037037037,1.8148148148148149,0
0,sit,two_one,108,2.6394102847435326,3.3398500028846243,4.0544477840223765,2.888888888888889,1.0,0
0,sit,two_seven,106,2.6404576133128597,3.290515142255901,3.9837593589927893,2.9056603773584904,1.0,0
0,sit,two_six,108,2.481869007757053,3.3856536924977494,4.122619286663956,2.175925925925926,1.0,0
0,sit,two_three,107,2.900164732420205,3.443786437760462,4.063395081288509,3.635514018691589,1.8130841121495327,0
0,sit,two_two,106,2.6404576133128597,3.290515142255901,3.920565532505595,2.8207547169811322,1.0,0
0,walk,four_eight,113,3.9457098444990466,4.235216461694032,4.650253960972875,11.628318584070795,3.5840707964601775,0
0,walk,four_five,113,3.881579507079331,4.235216461694032,4.650253960972875,13.761061946902652,2.769911504424779,0
0,walk,four_four,112,4.304854581528421,4.485426827170242,4.8438807980827185,15.00892857142857,4.482142857142857,0
0,walk,four_one,113,4.317678621886005,4.704701744995251,5.0546442160522105,14.619469026548671,4.477876106194691,0
0,walk,four_seven,99,4.307428525192248,4.6293566200796095,4.951284714966971,12.656565656565654,4.494949494949495,0
0,walk,four_six,110,4.459431618637297,4.722466024471091,5.015824967161683,13.5,4.536363636363636,0
0,walk,four_three,113,3.3176786218860044,3.6772210085731447,4.1421070573025505,5.097345132743363,1.8849557522123894,0
0,walk,four_two,112,4.304854581528421,4.534336427651188,5.0,14.58928571428571,4.482142857142857,0
0,walk,three_eight,113,3.1197392442740957,3.4982508675278257,4.0760178668447775,4.389380530973451,1.8761061946902657,0
0,walk,three_five,112,3.3923174227787602,3.8377285711011226,4.321928094887363,6.839285714285714,2.696428571428571,0
0,walk,three_four,113,2.7904316190211356,3.405141463136344,3.992359937797868,3.4513274336283186,1.0,0
0,walk,three_one,113,3.7047017449952517,3.978876708434246,4.387219555139081,8.734513274336283,2.734513274336283,0
0,walk,three_seven,112,3.263034405833794,3.534336427651188,4.129283016944966,4.473214285714285,1.8660714285714286,0
0,walk,three_six,111,3.67893864893017,3.987060944292502,4.308989039179864,7.135135135135135,2.72972972972973,0
0,walk,three_three,113,3.820178962415188,4.083213368248981,4.469681715331054,9.486725663716813,2.769911504424779,0
0,walk,three_two,113,3.1197392442740957,3.4744041255734577,3.992359937797868,4.336283185840708,1.8495575221238938,0
0,walk,two_eight,113,2.7904316190211356,3.3390522726785714,3.952282498422533,3.008849557522124,1.0,0
0,walk,two_five,113,3.1197392442740957,3.677221008573145,4.164827133802634,5.3628318584070795,1.0,0
0,walk,two_four,113,2.7327161211648483,3.3390522726785714,3.952282498422533,2.982300884955752,1.0,0
0,walk,two_one,112,2.509674373416919,3.2223924213364477,3.9198296513160167,2.2857142857142856,1.0,0
0,walk,two_seven,112,2.837728571101123,3.347923303420307,3.9795358974402846,3.044642857142857,1.0,0
0,walk,two_six,113,2.4982508675278257,3.2352164616940318,3.9326536916736003,2.1592920353982303,1.0,0
0,walk,two_three,113,3.04758945851826,3.572251448971602,4.119739244274095,4.292035398230089,1.8141592920353982,0
0,walk,two_two,113,2.572251448971602,3.2352164616940318,3.9326536916736003,2.3097345132743365,1.0,0
